yarn run v1.22.22
$ next dev
▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.55:3000
- Environments: .env.local
- Experiments (use with caution):
  · clientTraceMetadata

✓ Starting...
✓ Ready in 2.4s
 PUT /api/inngest 200 in 54ms (compile: 15ms, proxy.ts: 11ms, render: 28ms)
 PUT /api/inngest 200 in 60ms (compile: 16ms, proxy.ts: 13ms, render: 32ms)
 PUT /api/inngest 200 in 56ms (compile: 15ms, proxy.ts: 9ms, render: 32ms)
 PUT /api/inngest 200 in 52ms (compile: 15ms, proxy.ts: 7ms, render: 30ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 11ms, render: 31ms)
 PUT /api/inngest 200 in 68ms (compile: 16ms, proxy.ts: 19ms, render: 33ms)
 PUT /api/inngest 200 in 62ms (compile: 16ms, proxy.ts: 12ms, render: 34ms)
 PUT /api/inngest 200 in 59ms (compile: 15ms, proxy.ts: 13ms, render: 31ms)
 PUT /api/inngest 200 in 56ms (compile: 15ms, proxy.ts: 7ms, render: 33ms)
 PUT /api/inngest 200 in 65ms (compile: 16ms, proxy.ts: 17ms, render: 33ms)
 PUT /api/inngest 200 in 59ms (compile: 17ms, proxy.ts: 12ms, render: 29ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 14ms, render: 32ms)
 PUT /api/inngest 200 in 68ms (compile: 17ms, proxy.ts: 21ms, render: 31ms)
 PUT /api/inngest 200 in 63ms (compile: 16ms, proxy.ts: 18ms, render: 29ms)
 PUT /api/inngest 200 in 61ms (compile: 15ms, proxy.ts: 14ms, render: 32ms)
 PUT /api/inngest 200 in 51ms (compile: 15ms, proxy.ts: 8ms, render: 29ms)
 PUT /api/inngest 200 in 61ms (compile: 18ms, proxy.ts: 13ms, render: 31ms)
 PUT /api/inngest 200 in 61ms (compile: 19ms, proxy.ts: 13ms, render: 30ms)
 PUT /api/inngest 200 in 55ms (compile: 14ms, proxy.ts: 12ms, render: 29ms)
 PUT /api/inngest 200 in 57ms (compile: 16ms, proxy.ts: 12ms, render: 30ms)
 PUT /api/inngest 200 in 63ms (compile: 15ms, proxy.ts: 18ms, render: 30ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 11ms, render: 28ms)
 PUT /api/inngest 200 in 52ms (compile: 15ms, proxy.ts: 8ms, render: 30ms)
 PUT /api/inngest 200 in 72ms (compile: 18ms, proxy.ts: 23ms, render: 31ms)
 PUT /api/inngest 200 in 65ms (compile: 15ms, proxy.ts: 20ms, render: 30ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 20ms, render: 30ms)
 PUT /api/inngest 200 in 53ms (compile: 16ms, proxy.ts: 8ms, render: 29ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 20ms, render: 29ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 15ms, render: 30ms)
 PUT /api/inngest 200 in 61ms (compile: 15ms, proxy.ts: 13ms, render: 33ms)
 PUT /api/inngest 200 in 58ms (compile: 16ms, proxy.ts: 11ms, render: 32ms)
 PUT /api/inngest 200 in 60ms (compile: 17ms, proxy.ts: 12ms, render: 31ms)
 PUT /api/inngest 200 in 69ms (compile: 15ms, proxy.ts: 21ms, render: 32ms)
 PUT /api/inngest 200 in 59ms (compile: 16ms, proxy.ts: 12ms, render: 31ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 19ms, render: 32ms)
 PUT /api/inngest 200 in 61ms (compile: 15ms, proxy.ts: 15ms, render: 31ms)
 PUT /api/inngest 200 in 60ms (compile: 15ms, proxy.ts: 13ms, render: 32ms)
 PUT /api/inngest 200 in 69ms (compile: 17ms, proxy.ts: 21ms, render: 30ms)
 PUT /api/inngest 200 in 50ms (compile: 16ms, proxy.ts: 6ms, render: 29ms)
 PUT /api/inngest 200 in 56ms (compile: 16ms, proxy.ts: 11ms, render: 29ms)
 PUT /api/inngest 200 in 55ms (compile: 15ms, proxy.ts: 10ms, render: 30ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 21ms, render: 31ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 9ms, render: 36ms)
 PUT /api/inngest 200 in 62ms (compile: 14ms, proxy.ts: 17ms, render: 31ms)
 PUT /api/inngest 200 in 53ms (compile: 15ms, proxy.ts: 9ms, render: 29ms)
 PUT /api/inngest 200 in 90ms (compile: 27ms, proxy.ts: 18ms, render: 46ms)
 PUT /api/inngest 200 in 50ms (compile: 15ms, proxy.ts: 6ms, render: 29ms)
 POST /api/messages 200 in 2.6s (compile: 159ms, proxy.ts: 602ms, render: 1823ms)
 POST /api/inngest?fnId=polaris-process-message&stepId=step 206 in 436ms (compile: 15ms, proxy.ts: 13ms, render: 408ms)
 POST /api/inngest?fnId=polaris-process-message&stepId=step 206 in 698ms (compile: 14ms, proxy.ts: 10ms, render: 674ms)
 PUT /api/inngest 200 in 75ms (compile: 14ms, proxy.ts: 17ms, render: 44ms)
 POST /api/inngest?fnId=polaris-process-message&stepId=step 206 in 677ms (compile: 12ms, proxy.ts: 9ms, render: 656ms)
 POST /api/inngest?fnId=polaris-process-message&stepId=step 206 in 445ms (compile: 13ms, proxy.ts: 9ms, render: 422ms)
 PUT /api/inngest 200 in 77ms (compile: 18ms, proxy.ts: 25ms, render: 34ms)
 PUT /api/inngest 200 in 65ms (compile: 17ms, proxy.ts: 15ms, render: 34ms)
 PUT /api/inngest 200 in 64ms (compile: 18ms, proxy.ts: 16ms, render: 30ms)
 PUT /api/inngest 200 in 56ms (compile: 15ms, proxy.ts: 12ms, render: 29ms)
 PUT /api/inngest 200 in 56ms (compile: 15ms, proxy.ts: 9ms, render: 32ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 13ms, render: 31ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 20ms, render: 32ms)
 POST /api/inngest?fnId=polaris-process-message&stepId=step 206 in 427ms (compile: 14ms, proxy.ts: 13ms, render: 400ms)
 PUT /api/inngest 200 in 58ms (compile: 15ms, proxy.ts: 14ms, render: 30ms)
